currentTime,delta
1999,1999
2999,1000
3999,999
4999,1000
7000,2000
8999,1999
9999,1000
10999,999
11999,1000
13999,1999
16000,2000
17999,1999
18999,1000
19999,999
20999,1000
21999,999
23000,1001
23999,999
24999,999
25999,1000
26999,999
27999,1000
29999,1999
32000,2000
32999,999
33999,999
34999,1000
35999,999
36999,1000
37999,999
39000,1001
39999,999
40999,999
41999,1000
42999,999
43999,1000
44999,999
46999,2000
48000,1000
48999,999
49999,999
50999,1000
52999,1999
55000,2000
56999,1999
57999,1000
58999,999
59999,1000
60999,999
62999,2000
64999,1999
66999,1999
68999,1999
71000,2000
71999,999
72999,999
73999,1000
75999,1999
77999,1999
80000,2000
81999,1999
