currentTime,delta
817,817
1816,999
2816,1000
3815,999
5814,1999
7813,1999
8812,999
10811,1999
11810,999
12810,1000
14809,1999
16807,1998
17807,1000
18806,999
19806,1000
21805,1999
22804,999
23803,999
24803,1000
25802,999
26802,1000
27801,999
28801,1000
29800,999
30799,999
31799,1000
32798,999
33798,1000
34797,999
35796,999
36796,1000
37795,999
38795,1000
39794,999
40794,1000
41793,999
42792,999
43792,1000
44791,999
45791,1000
46790,999
47790,1000
48789,999
49788,999
51787,1999
53786,1999
54785,999
55785,1000
56783,998
57784,1001
58782,998
60781,1999
62780,1999
63779,999
64779,1000
65778,999
66778,1000
67777,999
68776,999
69776,1000
70775,999
71775,1000
72774,999
73774,1000
74773,999
75772,999
76772,1000
77771,999
78771,1000
79770,999
80770,1000
81769,999
82768,999
83768,1000
85767,1999
86766,999
87766,1000
88765,999
89764,999
90764,1000
91763,999
92763,1000
